planet,843.0,862.0,99.0
planet,818.0,274.0,77.0
planet,1256.0,367.0,79.0
planet,425.0,417.0,21.0
planet,1025.0,346.0,44.0
planet,1139.0,876.0,27.0
planet,1243.0,873.0,43.0
planet,1381.0,783.0,43.0
target,645.0,480.0,53.0
target,1046.0,503.0,54.0
target,1121.0,678.0,55.0
target,1276.0,626.0,53.0
target,1470.0,488.0,55.0
target,1042.0,176.0,53.0
target,1524.0,196.0,56.0
target,1592.0,372.0,54.0
target,1620.0,681.0,53.0
target,1614.0,892.0,52.0
target,1382.0,1009.0,52.0
target,1810.0,968.0,52.0
target,1785.0,728.0,54.0
target,1703.0,515.0,53.0
target,1784.0,274.0,53.0
target,1758.0,328.0,62.0
